doi,q1_climate_neutrality,q1_comment,q2_region,q2_comment,q3_sector,q3_comment,q4_method,q4_comment
"10.1109/ICAICTA63815.2024.10763079
",unclear,The abstract discusses prediction models for carbon neutrality but is a review paper; it does not itself provide or assess a specific climate-neutral pathway or system configuration.,yes,,yes,,unclear,The abstract reviews quantitative ML prediction models used by other studies but does not itself conduct quantitative modelling or scenario analysis to generate climate-neutral pathways.
"10.1109/ICT-PEP67281.2025.11232373
",no,,yes,,yes,,yes,
"10.1007/s44246-025-00218-4
",no,,yes,,yes,,yes,
"10.1016/j.ijggc.2022.103684
",yes,,yes,,yes,,yes,
"10.1177/21582440231184044
",no,,yes,,yes,,yes,
"10.1039/d5se00186b
",yes,,no,,yes,,yes,
"10.14042/j.cnki.32.1309.2026.01.007
",no,,yes,,yes,,yes,
"10.1016/j.energy.2024.133010
",yes,,yes,,yes,,yes,
"10.1007/s11270-025-07934-y
",no,,yes,,no,,no,
"10.1109/JSTARS.2025.3595540
",no,,yes,,yes,,yes,
"10.1007/s11356-025-36903-5
",no,,yes,,yes,,yes,
"10.1016/j.wen.2024.05.001
",yes,,yes,,yes,,yes,
"10.1016/j.ecolind.2025.113814
",no,,yes,,yes,,yes,
"10.1073/pnas.2306517121
",yes,,yes,,yes,,yes,
"10.1126/sciadv.adx7823
",no,,yes,,yes,,yes,
"10.1016/j.heliyon.2024.e24944
",no,,yes,,yes,,yes,
"10.1016/j.indic.2023.100323
",no,,yes,,yes,,yes,
"10.1007/978-981-19-5837-3_3
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2025.180689
",yes,,yes,,yes,,yes,
"10.1016/j.egycc.2023.100117
",yes,,yes,,yes,,yes,
"10.1016/j.cscee.2025.101315
",yes,,yes,,yes,,yes,
"10.1016/j.spc.2024.08.006
",yes,,no,,yes,,yes,
"10.1016/j.egycc.2024.100160
",yes,,yes,,yes,,yes,
"10.3303/CET23106115
",yes,,yes,,yes,,yes,
"10.3390/su17020640
",no,,yes,,yes,,yes,
"10.3390/buildings15142462
",no,,yes,,yes,,yes,
"10.1016/j.envpol.2022.120715
",yes,,yes,,yes,,yes,
"10.1016/j.scs.2025.106563
",yes,,yes,,yes,,yes,
"10.1016/j.egyr.2025.11.021
",yes,,yes,,yes,,yes,
"10.1016/j.agwat.2026.110205
",no,,yes,,yes,,yes,
"10.1051/epjpv/2025023
",unclear,"The abstract mentions 'achieving national climate targets' and investigates pathways, but does not explicitly state these targets constitute climate neutrality or net zero; it focuses on land use trade-offs rather than confirming a climate-neutral outcome.",yes,,yes,,yes,
"10.3389/fclim.2024.1353939
",yes,,yes,,yes,,yes,
"10.1016/j.jclepro.2022.133629
",yes,,yes,,yes,,yes,
"10.16085/j.issn.1000-6613.2022-2293
",no,,yes,,yes,,no,
"10.1016/j.jclepro.2022.135534
",yes,,yes,,yes,,yes,
"10.4324/9781003384113-52
",no,,no,,yes,,no,
"10.3390/en16227608
",yes,,yes,,yes,,yes,
"10.1016/j.earscirev.2025.105309
",no,,yes,,yes,,yes,
"10.1016/j.agsy.2023.103772
",no,,yes,,yes,,yes,
"10.3390/pr14020347
",no,,yes,,yes,,yes,
"10.1016/B978-0-443-13985-7.00007-5
",no,,no,,yes,,no,
"10.3390/su16135475
",no,,yes,,yes,,no,
"10.1093/nsr/nwac057
",unclear,The abstract discusses contributions toward carbon neutrality by 2060 but does not present a complete climate-neutral pathway or system configuration; it only quantifies partial offsets (12.2-17.8%) of energy-related CO2 emissions.,yes,,yes,,yes,
"10.1016/j.scitotenv.2024.176690
",no,,yes,,yes,,yes,
"10.1016/j.array.2025.100639
",no,,yes,,yes,,yes,
"10.1007/978-3-031-82407-4_9
",unclear,Biomass is described as 'carbon-neutral' but the study focuses on technological analysis of Rankine cycle configurations rather than assessing or modeling a climate-neutral pathway.,no,,yes,,yes,
,unclear,"The proceedings mention carbon neutrality in the context of wood-based sectors and forest-based resource management, but it is unclear whether any specific pathway or system configuration is actually assessed or modeled as climate-neutral.",yes,,yes,,unclear,"Some papers mention scenario analysis and production trends analysis, but it is unclear from the proceedings summary whether quantitative modelling is used to generate climate-neutral pathways."
"10.1109/TSTE.2022.3223684
",no,,yes,,yes,,yes,
"10.1016/j.eneco.2025.108962
",no,,yes,,yes,,yes,
"10.1016/j.apenergy.2023.120673
",yes,,yes,,yes,,yes,
"10.1016/j.ecofro.2026.01.010
",yes,,yes,,yes,,yes,
"10.1016/j.resconrec.2025.108350
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2024.177284
",no,,yes,,yes,,yes,
"10.1016/j.jobe.2025.114641
",yes,,yes,,yes,,yes,
"10.1016/j.jenvman.2025.124368
",no,,yes,,unclear,"The abstract mentions carbon footprints and eco-environment pressure, but does not explicitly target a specific sector such as energy, industry, agriculture, or forestry.",yes,
"10.1016/j.energy.2022.123797
",yes,,yes,,yes,,yes,
"10.1016/j.jclepro.2022.134862
",unclear,"The study proposes exploring carbon neutrality and a carbon offsetting plan, but it is unclear whether a fully climate-neutral pathway is actually assessed or modeled.",yes,,yes,,yes,
"10.1016/j.jenvman.2023.119098
",yes,,yes,,yes,,yes,
"10.1016/j.scitotenv.2025.178894
",no,,yes,,unclear,"The abstract discusses CO2 emissions broadly across Africa without specifying particular sectors such as energy, industry, agriculture, or forestry as the focus of analysis.",yes,
"10.1016/j.scitotenv.2023.164116
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2023.161490
",no,,yes,,no,,yes,
"10.1016/j.jenvman.2023.118588
",no,,yes,,yes,,yes,
"10.3389/fenvs.2022.1044928
",no,,yes,,yes,,yes,
"10.1109/ICUE63019.2024.10795592
",no,,yes,,yes,,yes,
,yes,,yes,,yes,,yes,
"10.1016/j.landusepol.2025.107563
",yes,,yes,,yes,,yes,
"10.13226/j.issn.1006-6772.GG24031701
",no,,yes,,yes,,no,
"10.3390/pr12081758
",unclear,"The abstract targets 2060 with residual CO2 emissions of 1-3 billion tons offset by carbon sinks, which could imply net zero, but it is not explicitly stated as climate-neutral or net-zero.",yes,,yes,,yes,
"10.1016/j.resconrec.2022.106276
",unclear,The abstract mentions decarbonization pathways and scenarios but does not clearly state whether any of the four scenarios achieve full climate neutrality or net zero; they are described as 'different from business as usual' without specifying the degree of decarbonization achieved.,yes,,yes,,unclear,"The study uses scenario planning and ranks drivers of change, but it is unclear whether this involves quantitative modelling or remains primarily a qualitative scenario planning exercise."
"10.1007/978-3-031-51579-8_12
",yes,,no,,yes,,yes,
"10.3390/su16114454
",no,,yes,,yes,,yes,
"10.1016/j.eti.2025.104657
",no,,yes,,yes,,yes,
"10.18494/SAM5378
",no,,yes,,yes,,yes,
"10.11867/j.issn.1001-8166.2023.039
",no,,yes,,yes,,no,
"10.12357/cjea.20210607
",no,,yes,,yes,,yes,
"10.19741/j.issn.1673-4831.2024.0726
",yes,,yes,,yes,,yes,
"10.1007/s10584-023-03506-3
",unclear,"The abstract mentions carbon-neutral steel fabrication and greenhouse gas emission reductions, but does not actually assess or model a climate-neutral pathway; it focuses on governance and stakeholder dynamics.",yes,,yes,,no,
"10.1088/2631-8695/ae25b8
",no,,no,,yes,,yes,
"10.1016/j.resconrec.2025.108346
",yes,,yes,,yes,,yes,
"10.11870/cjlyzyyhj202410015
",yes,,yes,,yes,,yes,
"10.1016/j.renene.2024.120117
",unclear,"The abstract references Germany's climate neutrality goal by 2045 and models GM-PV potential contributing to it, but does not itself assess or model a complete climate-neutral pathway or system configuration.",yes,,yes,,yes,
"10.19912/j.0254-0096.tynxb.2021-0837
",unclear,"The abstract mentions China's carbon neutrality target and zero-carbon energy, but does not itself model or assess a climate-neutral pathway; it proposes a conceptual Eco-PV framework rather than demonstrating a climate-neutral configuration.",yes,,yes,,unclear,"The abstract mentions using ecosystem valuation models (InVEST) but it is unclear whether quantitative modelling of climate-neutral pathways or scenarios is actually conducted, as the study appears largely conceptual/framework-oriented."
"10.12302/j.issn.1000-2006.202405021
",no,,yes,,yes,,yes,
"10.1007/s11769-025-1590-6
",no,,yes,,yes,,yes,
"10.1016/j.envres.2023.116286
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2022.132594
",yes,,yes,,yes,,yes,
"10.1016/j.seta.2025.104652
",no,,yes,,yes,,yes,
"10.3390/land12112000
",yes,,yes,,yes,,yes,
"10.1007/978-981-99-8405-3_26
",unclear,"The abstract mentions 'net-zero carbon emissions' and 'carbon-neutral goal' as objectives the tool aims to support, but does not actually assess or model a climate-neutral pathway or system configuration.",no,,yes,,unclear,"The tool performs parametric/quantitative optimization of land use and solar panel placement, but it is not clear whether it generates climate-neutral pathways or scenarios in a modeling sense; it appears more as a spatial planning tool."
"10.1002/ldr.5409
",no,,yes,,yes,,yes,
"10.12357/cjea.20220267
",no,,yes,,yes,,yes,
"10.1109/ACCESS.2026.3659532
",no,,yes,,yes,,yes,
"10.3390/en18143724
",yes,,yes,,yes,,yes,
"10.1016/j.eneco.2022.106397
",no,,yes,,yes,,yes,
"10.1016/j.buildenv.2025.113004
",yes,,yes,,yes,,yes,
"10.3390/su162310526
",no,,yes,,yes,,no,
"10.3390/eng7020073
",no,,yes,,yes,,yes,
"10.1177/09749101251391923
",unclear,"The abstract mentions carbon neutrality as a goal for China and discusses low-carbon mechanisms, but does not clearly present or assess a specific climate-neutral pathway or system configuration.",yes,,yes,,no,
"10.3389/fevo.2022.941520
",no,,yes,,yes,,yes,
"10.1016/j.esd.2024.101575
",no,,yes,,yes,,yes,
"10.1016/j.scs.2023.104758
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2022.125834
",no,,yes,,yes,,yes,
"10.13227/j.hjkx.202403231
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2025.146196
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2023.166390
",unclear,"The abstract discusses contributions toward net zero through C sequestration and bioenergy, but does not explicitly model or assess a fully climate-neutral pathway or system configuration.",yes,,yes,,yes,
"10.1016/j.scitotenv.2022.154909
",yes,,yes,,yes,,yes,
"10.1007/s10661-025-14559-5
",no,,yes,,yes,,yes,
"10.1515/geo-2025-0872
",no,,yes,,yes,,yes,
"10.1016/j.egyr.2025.07.038
",no,,yes,,yes,,no,
"10.3390/cli12020015
",unclear,"The paper suggests a pathway toward net zero emissions for the dairy industry, but it is unclear whether an actual net zero configuration is fully assessed/modeled or merely proposed conceptually.",yes,,yes,,no,
"10.16085/j.issn.1000-6613.2022-0395
",no,,yes,,yes,,no,
"10.1016/j.jenvman.2024.122463
",no,,yes,,yes,,yes,
"10.1016/j.scib.2023.11.016
",yes,,yes,,yes,,yes,
"10.1016/j.rser.2025.116147
",no,,yes,,yes,,yes,
,no,,unclear,"The study mentions Mediterranean vineyards under the REVINE project, but no specific country, city, or region is explicitly targeted as the spatial scope of the analysis.",yes,,yes,
"10.13227/j.hjkx.202502070
",yes,,yes,,yes,,yes,
"10.1016/j.enconman.2025.120339
",no,,yes,,yes,,yes,
"10.63044/s25aco65
",no,,yes,,yes,,yes,
"10.1016/j.jup.2025.102098
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2024.134069
",no,,yes,,yes,,yes,
"10.1016/j.esr.2022.100836
",yes,,yes,,yes,,yes,
"10.1016/j.tust.2023.105533
",no,,yes,,yes,,yes,
"10.1016/j.rser.2023.113145
",yes,,yes,,yes,,yes,
"10.1021/acs.est.3c04618
",yes,,yes,,yes,,yes,
"10.1016/j.scitotenv.2022.153407
",no,,yes,,yes,,yes,
"10.1016/j.scs.2025.106555
",no,,yes,,yes,,yes,
"10.1186/s13021-025-00314-3
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2024.140952
",yes,,yes,,yes,,yes,
"10.1016/j.jclepro.2022.134483
",yes,,yes,,yes,,yes,
"10.1021/acs.est.3c06866
",yes,,no,,yes,,yes,
"10.1117/12.3044690
",no,,yes,,yes,,yes,
"10.17521/cjpe.2023.0139
",no,,yes,,yes,,yes,
"10.1007/s44246-024-00168-3
",no,,no,,no,,no,
"10.2478/rtuect-2023-0073
",yes,,yes,,yes,,yes,
"10.3390/en16207103
",no,,yes,,yes,,yes,
"10.13227/j.hjkx.202112065
",no,,yes,,yes,,no,
"10.2478/eces-2023-0042
",unclear,"The study discusses decarbonisation pathways and carbon neutrality targets for China's manufacturing sector, but it is unclear whether an actual climate-neutral pathway or system configuration is modeled/assessed, or if it remains at a strategic/qualitative level.",yes,,yes,,yes,
"10.3389/fsufs.2024.1441118
",no,,yes,,yes,,yes,
"10.1080/00049158.2026.2631777
",no,,yes,,yes,,no,
"10.1016/j.eiar.2025.107890
",no,,yes,,yes,,yes,
"10.3389/fsufs.2024.1492883
",no,,yes,,yes,,yes,
"10.1016/j.egycc.2025.100219
",no,,yes,,yes,,yes,
"10.3168/jds.2025-26392
",yes,,yes,,yes,,yes,
"10.1007/978-3-031-69457-8_66
",no,,yes,,yes,,no,
"10.1016/j.scitotenv.2023.166204
",yes,,yes,,yes,,yes,
"10.3390/buildings13030829
",unclear,The abstract mentions carbon neutrality as a motivation but does not actually assess or model a climate-neutral pathway; it focuses on electricity bill reduction through energy sharing.,no,,yes,,yes,
"10.1016/j.energy.2025.134647
",unclear,The abstract mentions 'carbon neutrality potential' and 'towards carbon neutrality' but does not actually model or assess a climate-neutral pathway; it focuses on optimizing HTC process parameters.,yes,,yes,,yes,
"10.1007/978-3-031-74716-8_3
",no,,yes,,yes,,yes,
"10.1007/s11367-025-02489-w
",no,,yes,,yes,,yes,
"10.1002/bbb.2366
",yes,,yes,,yes,,yes,
"10.1201/9781032686899
",unclear,The volume mentions 'net zero targets' in its title/framing but it is a broad edited volume covering many topics; it is unclear whether any specific pathway or system configuration is actually assessed or modeled as climate-neutral.,no,,yes,,unclear,"The abstract describes a book covering multiple topics including AI and BIM, but does not specify whether quantitative modelling or scenario processes for climate-neutral pathways are included."
"10.54337/ijsepm.8280
",yes,,yes,,yes,,yes,
"10.3390/ijerph192416424
",no,,yes,,yes,,yes,
,no,,yes,,yes,,yes,
"10.1016/j.energy.2026.140067
",yes,,yes,,yes,,yes,
"10.1371/journal.pone.0301836
",no,,yes,,yes,,yes,
"10.1177/0958305X241230622
",no,,yes,,yes,,yes,
"10.1057/s41599-025-05545-w
",yes,,yes,,yes,,yes,
"10.1016/j.biteb.2025.102248
",no,,yes,,yes,,yes,
"10.1016/j.egyr.2024.09.066
",no,,yes,,yes,,yes,
"10.1016/j.resourpol.2023.104183
",no,,yes,,yes,,yes,
"10.1088/1748-9326/ad83e3
",unclear,The abstract mentions BCR's role in 'achieving carbon neutrality' but only assesses its contribution to negative emissions rather than modeling a full climate-neutral pathway or system configuration.,yes,,yes,,yes,
"10.1016/j.scitotenv.2023.167589
",no,,unclear,"The abstract refers to 'developed', 'developing', and 'undeveloped' regions generically without specifying any particular country, city, or geographic area.",yes,,yes,
"10.61435/ijred.2026.62064
",no,,yes,,yes,,yes,
"10.3390/en15155401
",yes,,yes,,yes,,yes,
"10.31497/zrzyxb.20221201
",yes,,yes,,yes,,no,
"10.1016/j.spc.2024.10.003
",no,,yes,,yes,,yes,
"10.4271/2025-01-8787
",no,,no,,yes,,yes,
"10.1016/j.jenvman.2025.127436
",no,,yes,,yes,,yes,
"10.1109/SUSTAINED63638.2024.11074108
",no,,no,,no,,no,
"10.1007/s13280-023-01860-1
",yes,,yes,,yes,,yes,
"10.3390/ijerph192315478
",no,,yes,,yes,,yes,
"10.1002/adsu.202501637
",yes,,yes,,yes,,yes,
"10.1088/1748-9326/adcb56
",no,,yes,,yes,,yes,
"10.1002/eej.23396
",yes,,yes,,yes,,yes,
"10.2478/amns-2024-2916
",no,,no,,yes,,yes,
"10.1007/978-3-032-00361-4_32
",yes,,unclear,"NCNU appears to be a university campus, but no specific country, city, or region is explicitly named in the abstract.",yes,,no,
"10.1016/j.enconman.2025.120055
",yes,,no,,yes,,yes,
"10.1016/j.jclepro.2024.141707
",unclear,"The study uses carbon peaking and carbon neutrality as time references (2030 and 2060) and includes a low-carbon development scenario, but does not explicitly model or assess a climate-neutral pathway; it focuses on biomass substitution percentages for fossil fuels (max ~7%), which are far from full neutrality.",yes,,yes,,yes,
"10.1088/1748-9326/acf146
",yes,,yes,,yes,,yes,
"10.1007/s44246-024-00140-1
",no,,yes,,yes,,yes,
"10.1016/j.scitotenv.2024.174665
",no,,yes,,yes,,yes,
"10.17660/ActaHortic.2023.1369.15
",no,,yes,,yes,,yes,
"10.3390/su17031005
",no,,yes,,yes,,yes,
"10.1111/gcb.16984
",yes,,yes,,yes,,yes,
"10.1016/j.energy.2024.132971
",no,,yes,,yes,,yes,
"10.3390/en15238886
",unclear,"The abstract discusses carbon emission pathways and scenarios including a 'radical model', but does not explicitly state whether any scenario achieves carbon neutrality or net zero.",yes,,yes,,yes,
"10.1038/s41467-025-60652-1
",yes,,yes,,yes,,yes,
"10.3390/ijerph192316149
",no,,yes,,yes,,yes,
"10.3390/en18071624
",no,,yes,,yes,,no,
"10.3389/fsufs.2025.1536850
",no,,yes,,yes,,no,
"10.1007/s10668-024-05598-y
",no,,no,,yes,,no,
"10.1016/j.resconrec.2024.107971
",yes,,yes,,yes,,yes,
"10.15961/j.jsuese.202100627
",yes,,yes,,yes,,yes,
"10.1017/9781316389553.013
",yes,,yes,,yes,,yes,
"10.18796/0041-5790-2021-10-19-23
",no,,yes,,yes,,no,
"10.1111/gcbb.12193
",no,,yes,,yes,,yes,
"10.13226/j.issn.1006-6772.CC22021701
",yes,,yes,,yes,,no,
"10.1016/j.esr.2020.100525
",yes,,yes,,yes,,yes,
"10.1088/1755-1315/703/1/012037
",yes,,yes,,yes,,yes,
"10.1016/j.esr.2020.100578
",yes,,yes,,yes,,yes,
"10.1111/gcbb.12276
",no,,yes,,yes,,yes,
"10.1109/AHPCAI57455.2022.10087813
",yes,,yes,,yes,,yes,
"10.11975/j.issn.1002-6819.2022.01.026
",no,,yes,,yes,,no,
"10.5846/stxb202201120117
",no,,yes,,yes,,yes,
"10.1111/gcbb.12198
",no,,yes,,yes,,yes,
"10.1016/j.landusepol.2021.105861
",no,,yes,,yes,,no,
"10.3390/en15051724
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2022.130441
",yes,,yes,,yes,,yes,
"10.5846/stxb202112053440
",yes,,yes,,yes,,yes,
"10.4271/2021-01-0039
",yes,,no,,yes,,no,
"10.1399/NuL.2022.01.02.e
",no,,yes,,yes,,no,
,yes,,yes,,yes,,yes,
"10.1016/j.apenergy.2021.117510
",yes,,yes,,yes,,yes,
"10.1016/B978-0-12-822112-9.00009-6
",no,,yes,,yes,,no,
"10.1007/978-3-030-78566-6_5
",no,,yes,,yes,,no,
"10.52202/065147-0240
",no,,yes,,unclear,"The abstract discusses carbon emissions in the Yangtze River Economic Belt broadly without specifying a particular sector such as energy, industry, or AFOLU.",yes,
"10.3390/en14154445
",yes,,yes,,yes,,yes,
,no,,no,,yes,,no,
"10.3787/j.issn.1000-0976.2021.06.019
",unclear,The paper calculates 'low-carbon efficiency' from the perspective of carbon neutrality but does not explicitly model or assess a climate-neutral pathway or system configuration.,yes,,yes,,yes,
"10.1016/j.joule.2019.12.018
",yes,,yes,,yes,,yes,
"10.1088/1748-9326/ab87d1
",unclear,The abstract mentions 'ambitious clean energy goals' and 'subnational climate targets' but does not explicitly state these constitute a climate-neutral or net-zero pathway.,yes,,yes,,yes,
,yes,,yes,,yes,,yes,
"10.3992/1943-4618.13.1.139
",no,,yes,,unclear,"The abstract mentions renewable energy and sustainability but does not clearly specify a sector such as energy, industry, agriculture, etc. in a targeted analytical sense.",no,
"10.1007/s12665-021-09762-9
",yes,,yes,,yes,,yes,
"10.1016/j.apenergy.2015.01.006
",yes,,no,,yes,,yes,
"10.1080/01944360802380431
",no,,yes,,yes,,yes,
"10.11654/jaes.2021-0647
",no,,yes,,yes,,yes,
"10.3775/jie.89.42
",no,,yes,,yes,,yes,
"10.1016/j.esr.2021.100637
",yes,,yes,,yes,,yes,
"10.16085/j.issn.1000-6613.2021-0179
",unclear,"The abstract mentions 'carbon neutrality' in the context of China's chemical industry transition, but it is not clearly assessed or modeled as a pathway — it appears more as a stated goal or motivation.",yes,,yes,,no,
,no,,yes,,yes,,no,
,no,,yes,,yes,,no,
"10.17645/up.v3i2.1250
",yes,,yes,,yes,,yes,
"10.1002/bbb.1407
",no,,no,,yes,,no,
"10.1016/j.ecolind.2021.108499
",no,,yes,,yes,,yes,
"10.1016/j.renene.2021.12.024
",yes,,yes,,yes,,yes,
"10.1007/978-3-031-16470-5_13
",unclear,"The abstract mentions a target scenario aiming for carbon neutrality by 2060, but only describes a 60% decrease in net emissions by 2050 as the modeled pathway; the actual carbon neutrality endpoint is stated as a goal rather than fully assessed/modeled.",yes,,yes,,unclear,"The abstract references a strategy/scenario with quantitative targets (60% decrease), but it is unclear whether original quantitative modelling was performed or if it merely describes an existing government strategy."
"10.1016/j.joule.2019.03.006
",unclear,The abstract mentions 'deep carbonization' and Paris Agreement goals but does not actually assess or model a climate-neutral pathway; it is a commentary discussing carbon pricing policy.,no,,no,,no,
"10.1016/j.foreco.2016.07.015
",yes,,yes,,yes,,yes,
"10.1016/j.egyr.2021.08.129
",no,,yes,,yes,,yes,
"10.1016/j.biombioe.2021.106164
",no,,yes,,yes,,yes,
"10.21552/cclr/2021/1/10
",no,,yes,,yes,,no,
"10.1016/j.foreco.2012.02.037
",unclear,"The abstract discusses improving carbon neutrality of bioenergy systems and long-term CO2 uptake exceeding emissions, but does not clearly present a fully climate-neutral pathway; it focuses on improvements relative to baseline rather than achieving net zero.",yes,,yes,,yes,
"10.1109/ECODIM.1999.747652
",yes,,yes,,yes,,no,
"10.19705/j.cnki.issn2096-5125.2022.01.010
",yes,,yes,,yes,,no,
"10.1007/s11027-012-9409-z
",no,,yes,,yes,,yes,
"10.2478/rtuect-2021-0021
",no,,yes,,yes,,no,
"10.1007/s10765-018-2382-3
",unclear,"Carbon neutrality is mentioned as a goal in Finland, but the abstract focuses on measurement methodology for biomass moisture content, not on assessing or modeling a climate-neutral pathway.",yes,,yes,,unclear,"Experiments and simulations are carried out, but they concern moisture measurement methodology rather than quantitative modeling of climate-neutral pathways or scenarios."
"10.1139/cjfr-2014-0120
",no,,no,,yes,,yes,
"10.1016/j.solener.2020.06.089
",no,,yes,,yes,,yes,
"10.28946/SLREV.VOL6.ISS1.1510.PP1-23
",unclear,The abstract mentions Australia's 'net-zero emissions strategy' but only as a goal to work toward; the paper itself analyzes regulatory effectiveness rather than modeling or assessing a climate-neutral pathway.,yes,,yes,,no,
"10.1063/1.5034382
",yes,,yes,,yes,,yes,
"10.1109/ENERGYCON53164.2022.9830169
",yes,,yes,,yes,,yes,
"10.3390/en14237842
",yes,,yes,,yes,,yes,
"10.1016/j.apenergy.2021.117996
",yes,,yes,,yes,,yes,
"10.3390/ijerph182413284
",no,,yes,,yes,,yes,
"10.1109/IISA50023.2020.9284345
",no,,yes,,yes,,yes,
"10.1016/j.enbuild.2014.02.049
",no,,yes,,yes,,yes,
"10.1016/j.landusepol.2020.104955
",yes,,yes,,yes,,yes,
"10.3390/f13030407
",unclear,"The abstract discusses carbon neutrality of the Qinling Mountains ecosystem (carbon sequestration offsetting emissions) and projects to 2030 and 2050, but it is unclear whether a fully climate-neutral pathway or system configuration is explicitly assessed or just the carbon balance quantified.",yes,,yes,,yes,
"10.24264/icams-2020.IV.12
",no,,yes,,yes,,yes,
"10.1038/s41467-021-27520-0
",no,,no,,yes,,yes,
,unclear,"The abstract proposes a 'net-zero campus transformation by 2030' as a Grand Challenge goal, but it is a proposal/call to action rather than an assessed or modeled pathway.",unclear,"The abstract refers to 'campuses and institutions' broadly without specifying any particular geographic region, country, or city.",yes,,no,
"10.1111/gcbb.12666
",yes,,no,,yes,,yes,
"10.1016/j.joule.2021.12.013
",no,,no,,yes,,no,
"10.1139/cjfr-2020-0471
",no,,yes,,yes,,no,
"10.1016/j.jenvman.2021.113242
",no,,yes,,yes,,yes,
"10.1016/j.esr.2020.100510
",yes,,yes,,yes,,yes,
"10.1111/gcbb.12143
",no,,unclear,"The study uses the Forest Inventory and Analysis database with 362 sites, but no specific country, region, or spatial area is explicitly named in the abstract.",yes,,yes,
"10.1016/j.jenvman.2021.113058
",yes,,yes,,yes,,yes,
"10.1088/1755-1315/401/1/012013
",no,,no,,yes,,yes,
"10.1016/j.rser.2018.07.043
",yes,,yes,,yes,,yes,
"10.1016/j.landusepol.2014.09.009
",yes,,yes,,yes,,yes,
"10.1016/j.glt.2022.08.001
",yes,,yes,,yes,,yes,
"10.1525/cse.2022.1552208
",no,,yes,,yes,,yes,
"10.3389/fenvs.2022.847719
",no,,yes,,yes,,yes,
"10.1016/j.jclepro.2018.10.102
",no,,yes,,yes,,yes,
"10.5558/tfc2014-125
",no,,yes,,yes,,yes,
"10.1016/j.enpol.2020.111917
",yes,,yes,,yes,,yes,
"10.1016/j.erss.2021.102124
",yes,,yes,,yes,,yes,
"10.1080/20426445.2020.1730047
",no,,yes,,yes,,no,
"10.3390/su13168836
",yes,,yes,,yes,,unclear,"The abstract mentions 'urban-energy models' and 'energy decarbonisation modelling' tools, but it is unclear whether quantitative modelling or scenario analysis was actually performed in this paper or merely referenced as part of the methodology framework."
"10.46855/energy-proceedings-9383
",yes,,yes,,yes,,yes,
"10.1016/j.envsci.2011.07.011
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.1080/17583004.2018.1536168
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
"10.4324/9781003273172
",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro...",unclear,"llm error: RuntimeError: LLM HTTP 402: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 64353. To increase, visit https://openro..."
