Article ID;Title;Author;Secondary authors;Keywords;title of unpublished reference;primary date;publication year;notes;reprint status;start page number;ending page number;periodical full name;periodical standard abbreviation;periodical in which article was published;periodical name - user abbreviation 1;periodical name - user abbreviation 2;volume number;issue number;title secondary;city of publication;publisher;user definable 1;user definable 5;title series;Abstract;ISSN/ISBN;availability;Misc. 1;Misc. 2;address;Web/URL;link to PDF;link to full-text;related records;images;DOI;Overall comments;"Comment:         Does the study explicitly include at least one of the following sectors within its system boundary?&nbsp;     AGRICULTURE  ENERGY&nbsp;(this includes TRANSPORT, BUILDINGS, ELECTRICITY GENERATION)  INDUSTRY  LAND-USE  FORESTRY  WASTE  CROSS-SECTORAL   OTHER    If YES: &nbsp;leave a comment with all sectors that apply, separated by commas, using only the above labels     Use CROSS-SECTORAL if sectors are not modeled separately but as an integrated whole-economy system. This means, you either specify one/multiple sectors explicitly OR only CROSS-SECTORAL.  Use OTHER and add a brief note if sector falls outside the list.      If NO: &nbsp;leave comment blank.       (Population); ";;;;;;;;;;;;;;;;;;;;;;"Comment:         Does the study present at least one&nbsp;  quantitative scenario  &nbsp;or&nbsp;  pathway  &nbsp;toward climate neutrality, i.e., numerical projections of future states, not solely qualitative descriptions or historical analysis?&nbsp; Please only consider the content of the Results Section plus Figures and Tables.             If YES , please specify in comment&nbsp;all quantified dimensions that apply, separated by commas, using only these labels:     DEMAND  EMISSIONS  COSTS  PRICES  TECHNOLOGY-SHARES  LAND-USE REQUIREMENTS   OTHER      Brief definitions for non-specialists:  DEMAND: numerical projections of energy or resource consumption, such as energy demand by sector (e.g. TWh, PJ)  EMISSIONS: GHG emission or removal quantities (e.g. MtCO₂eq)  COSTS: abatement or system costs (e.g. billion €),&nbsp;, GDP (e.g. billion €)  PRICES: energy or carbon price projections (e.g. €/MWh, €/tCO₂)  TECHNOLOGY-SHARES: deployment levels or shares of specific power generation technologies (e.g. TWh of PV), heating technologies (e.g. GWh of heat pumps), negative emission technologies (e.g. MtCO₂ of direct Air Capture or MtCO₂ sequested by forests) and transportation fuels (land, ship, air transport) (e.g. TWh of biofuels)  LAND-USE REQUIREMENTS: area of land required (e.g. land-used for wind power in km2)   OTHER: please specify      If NO: &nbsp;leave comment blank.    (Outcome); ";;;;;;;;;;;;;;;;;;;;;
328;"Greenhouse gas emission forecasting analysis in Jakarta towards net zero emissions in 2050
";"Gozali, L.; Liu, K.V.; Adianto, A.; Nasution, S.R.; Doaly, C.O.";;"ARIMA; Econometrics; Forecasting; Greenhouse gas emission; Machine learning; SARIMA";;;2026;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: L. Gozali; Industrial Engineering Department, Faculty of Engineering, Tarumanagara University, Jakarta, Indonesia; email: linag@ft.untar.ac.id
";;;;;;;;"Case. Stud. Chem. Environ. Eng.
";13;;"Case Studies in Chemical and Environmental Engineering
";;"Elsevier Ltd
";;;;"Increasing greenhouse gas (GHG) emissions are a serious threat to the environment, especially in Jakarta, which in 2023 recorded emissions of 63 MtCO2e. This study aims to identify the primary factors contributing to GHG emissions in Jakarta, project emission trends until 2050 using pessimistic, optimistic, and net-zero scenarios, and formulate effective mitigation strategies. The variables used are electricity consumption, private vehicle use, industrial energy consumption, waste generation, population growth, green open space, and public transportation usage. The analysis was conducted using various forecasting methods, including multiple linear regression, ARIMA, ARIMAX, SARIMA, SARIMAX, Random Forest, and Multilayer Perceptron. Among these, the Multilayer Perceptron model achieved the highest predictive accuracy in long-term predictions. The results reveal that current mitigation efforts are insufficient to achieve net-zero emissions by 2050, indicating the need for more aggressive interventions. Effective strategies include expanding green open space by 7 % annually, reducing motorized vehicle use by 4 %, lowering industrial energy consumption by 3 %, improving waste treatment efficiency by 3 %, and accelerating the transition to renewable energy. These findings highlight the urgency of enhancing climate action and provide a framework that can inform urban emission reduction strategies in other rapidly developing cities seeking sustainable, low-carbon futures. © 2025 The Authors
";"26660164 (ISSN)
";;;"Article
";"Industrial Engineering Department, Universitas Pembangunan Veteran, Jakarta, Indonesia
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025442021&doi=10.1016%2Fj.cscee.2025.101315&partnerID=40&md5=a48da8ad4ed2b6ebab15f48d4351c688
";;;;;10.1016/j.cscee.2025.101315;;;;;;;;;;;;cross-sectoral;;;;;;;CROSS-SECTORAL;;;;;;;;;;;;;;;emissions;;;;;;;EMISSIONS;;;;
330;"The role of the pulp and paper industry in achieving net zero U.S. CO2 emissions in 2050
";"Charles, M.; Narayan, K.B.; Edmonds, J.; Yu, S.";;"Net zero emissions pathways; Pulp and paper";;;2024;"Export Date: 01 April 2026; Cited By: 12; Correspondence Address: K.B. Narayan; Joint Global Change Research Institute (JGCRI), Pacific Northwest National Lab (PNNL), United States; email: kanishka.narayan@pnnl.gov
";;;;;;;;"Energy Clim. Chang.
";5;;"Energy and Climate Change
";;"Elsevier Ltd
";;;;"The pulp and paper industry is energy-intensive, making up about 9 % of total United States industrial energy consumption and 2.5 % of U.S. industrial greenhouse gas emissions. The pulp and paper industry is unique among industrial sectors due to its existing reliance on waste biomass to generate energy for mill operations. Pulp and paper mills could theoretically offer opportunities for negative emissions through carbon capture and storage (CCS) technologies along with use of biomass. In addition, the paper sector's use of low-temperature industrial heat creates opportunities for CO2 reductions through electrification technologies. We employ the Global Change Analysis Model (GCAM) to evaluate decarbonization pathways for the pulp and paper sector in the United States, as well as the sector's role in a net zero scenario and impacts on the energy, land, and water sectors. The version of GCAM used in this study includes detailed representation of major industrial sectors, including the pulp and paper industry. Representation of the linkage between forest products and paper production allow us to account for upstream carbon emissions, sequestration, and land-use impacts. Preliminary results under a pathway to net zero U.S. CO2 emissions in 2050 show that the pulp and paper industry can reach net zero CO2 emissions before 2050, earlier than the overall energy system, and contribute negative emissions thereafter. Use of fossil fuels is significantly reduced by 2050, shifting to increased electricity use in process heat generation. Consumption of biomass energy in process heat also increases compared to the reference scenario. Though paper production decreases in the policy scenario in response to higher prices of wood products, a high carbon price can incentivize increased use of biomass with CCS and thus paper production. Negative emissions opportunities in the paper industry have impacts on the land sector. Increasing use of biomass accelerates the shift from unmanaged to managed forests, with associated tradeoffs between technological carbon sequestration and natural ecosystem services. © 2024
";"26662787 (ISSN)
";;;"Article
";"Joint Global Change Research Institute (JGCRI), Pacific Northwest National Lab (PNNL), United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205471719&doi=10.1016%2Fj.egycc.2024.100160&partnerID=40&md5=4c9dc1045f486cbac2df33a615b76216
";;;;;10.1016/j.egycc.2024.100160;Paper only tackles pulp and paper industry, no entire sector is being modelled.;;;;;;;;;;;industry;;;;;;;INDUSTRY;;;;;;;;;;;;;;;emissions, technology-shares;;;;;;;EMISSIONS, TECHNOLOGY-SHARES;;;;
331;"Technology Roadmap for Achieving Carbon Neutrality of Thai Industrial Estate: The Case of Map Ta Put Area
";"Jaitiang, T.; Wongsapai, W.; Ammarapala, V.; Khunthong, K.; Jaekhajad, P.; Daroon, S.; Thepsaskul, W.; Muangjai, P.; Raksakulkarn, V.; Ritkrerkkrai, C.";;;;;2023;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: W. Wongsapai; Multidisciplinary Research Institute, Chiangmai University, Chiang Mai, 50200, Thailand; email: wongkot@eng.cmu.ac.th
";;685;690;;;;;"Chem. Eng. Trans.
";106;;"Chemical Engineering Transactions
";;"Italian Association of Chemical Engineering - AIDIC
";;;;"Climate change is the forefront of global agenda in recent years with the goal of achieving carbon neutrality or net zero emission. Consequently, Thailand has expressed her intention, with strong collaboration from all economic sectors, to achieve Carbon Neutrality and Net zero GHG by 2050 and 2065, respectively. Industrial Estate Authority of Thailand (IEAT), a public enterprise that plays a significant role to enhance competitiveness with technology and innovation along with being environmentally friendly for Thai industry, has ambitious target for greenhouse gas (GHG) mitigation, especially in estate infrastructure. This paper illustrates the starting point to achieving the IEAT GHG mitigation goals by establishing a technology roadmap for achieving carbon neutrality in the largest industrial estate of the country, namely the Map Ta Put. By adopting appropriate GHG mitigation technologies, e.g. energy efficiency, renewable energy, waste management, electrical vehicles, from the year 2023 to 2050, with considering the equipment lifetime for reduction pathway, we found that Map Ta Put industrial estate can reduce GHG emission by 28.85 % of BAU in 2050. Energy efficiency measures have the highest potential to reduce GHG emission at 22.62 %. Although Map Ta Put industrial estate area can deploy the high-efficiency technology, it cannot achieve the carbon neutrality target. Therefore, carbon offsetting by forestry or carbon credit is one of the major alternative options for this estate to achieve the target. Estimation of the abatement cost per unit of GHG mitigation also prioritized in this study. The cost for achieving net zero emissions is higher than the investment for carbon neutrality by 4.67 %. © 2023, AIDIC Servizi S.r.l.
";"22839216 (ISSN)
";;;"Article
";"Office of Research Administration, Chiang Mai University, Chiang Mai, 50200, Thailand
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183490872&doi=10.3303%2FCET23106115&partnerID=40&md5=2451ed384e14fc16be1b0bcbeb583eb4
";;;;;10.3303/CET23106115;paper explores how one large industrial park can decarbonise, not an entire sector.;;;;;;;;;;;industry;;;;;;;INDUSTRY;;;;;;;;;;;;;;;emissions, costs;;;;;;;EMISSIONS, COSTS;;;;
332;"Assessing the Greenhouse Gas Mitigation Potential of Harvested Wood Products in Romania and Their Contribution to Achieving Climate Neutrality
";"Braga, C.I.; Petrea, S.; Zaharia, A.; Cucu, A.B.; Serban, T.; Ienasoiu, G.; Radu, G.R.";;"carbon sequestration; carbon stock; climate policy; forest management strategies; harvested wood products; long-lived products; projected emissions; sustainability; Romania; aboveground biomass; carbon budget; carbon sequestration; carbon storage; forest management; forestry production; greenhouse gas; sustainability";;;2025;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: G.R. Radu; National Institute for Research and Development in Forestry “Marin Drăcea”, Voluntari, 128 Eroilor Boulevard, 077190, Romania; email: raulgradu@gmail.com
";;;;;;;;"Sustainability
";17;2;"Sustainability (Switzerland)
";;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"Forests mitigate greenhouse gas (GHG) emissions by capturing CO₂ and storing it as carbon in various forms, including living biomass, dead wood, soil, and forest litter. Importantly, when trees are harvested, a portion of the above-ground biomass is converted into harvested wood products (HWPs), which can retain carbon for decades. With approximately 7 million hectares of forest (30% of its land area), Romania significantly contributes to the country’s carbon budget through the HWP pool. Using country-specific data from 1961 to 2022 and an IPCC method, we tracked HWP carbon storage and projected future scenarios to evaluate the category’s significance in achieving the 2050 climate target. During this period, the carbon stored in Romanian HWPs more than doubled from 28.20 TgC to 60.76 TgC, with sawnwood products as major contributors. Fluctuations were influenced by domestic policies, market dynamics, and industry changes, notably after the 1990s. Annual carbon inflow dipped to 0.65 TgC in 1994 and peaked at 2.54 TgC in 2013. By analyzing the scenarios, we demonstrated that a moderate growth trajectory in carbon inflow, combined with a focus on producing long-lived wood products, could double carbon stock changes by 2050 to 4.4 TgC—roughly 4% of the country’s current total emissions excluding the LULUCF sector. Additionally, based on sustainable forest management practices in Romania, this approach would significantly enhance the carbon pool and its importance in achieving the country’s climate policies. © 2025 by the authors.
";"20711050 (ISSN)
";;;"Article
";"Faculty of Forestry, Ștefan cel Mare University of Suceava, 13 Universității, Suceava, 720229, Romania
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216130646&doi=10.3390%2Fsu17020640&partnerID=40&md5=4eb669ef06660c4f0307ef05837ab255
";;;;;10.3390/su17020640;;;;;;;;;;;;forestry (and wood-based industry);;;;;;;FORESTRY;;;;;;;;;;;;;;;emissions;;;;;;;;;;;
335;"Multidimensional responsive carbon neutrality capacity assessment index system for megacities from the perspectives of energy supply, consumption, and carbon sinks: A coupled AHP-SD-RF model
";"Xin, L.; Li, S.; Di, Y.; Rene, E.R.; Bing, Q.; Ma, W.";;"Carbon neutrality capacity assessment; Carbon neutrality pathways; Coupled AHP-SD-RF model; Energy supply and consumption; Renewable energy substitution; Beijing [Beijing (ADS)]; Beijing [China]; China; Analytic hierarchy process; Carbon cycle; Carbon Economy; Carbon footprint; Redundancy; Renewable energy; Algorithm model; Analytic hierarchy; Capacity assessment; Carbon neutralities; Carbon neutrality capacity assessment; Carbon neutrality pathway; Coupled analytic hierarchy process-system dynamic-random forest algorithm model; Energy supplies; Energy-consumption; Hierarchy process; Process system; Random forest algorithm; Renewable energies; Renewable energy substitution; System Dynamics; alternative energy; analytical hierarchy process; carbon sink; energy use; index method; megacity; umerical model; renewable resource; Hierarchical systems";;;2025;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: W. Ma; College of Environmental Science and Engineering, Beijing Forestry University, Beijing, 100083, China; email: weifang@bjfu.edu.cn
";;;;;;;;"Sustainable Cities Soc.
";130;;"Sustainable Cities and Society
";;"Elsevier Ltd
";;;;"To achieve carbon neutrality target for a megacity according to its potential ability levels and propose practical pathways, a precise Carbon Neutrality Capacity Assessment Index System (CNCAIS) was developed to rapidly evaluate the current rankings and optimize technological pathways. The CNCAIS integrated the Analytic Hierarchy Process (AHP), System dynamics (SD), and Random Forest algorithm (RF), which established a carbon balance framework to clarify inter-indicator correlations within carbon footprint, minimized accounting overlap across the industries, and eliminated redundancies from multi-factors data source. This high accuracy CNCAIS (R2=0.98) improved the evaluation speed by 3 times and reduced redundancy by 76 %. High-response indicators were identified for 5 and 15 types of energy supply and consumptions from a total of 72 sets, forming primary elements to implement carbon neutralization pathways. Multidimensional responsive carbon neutrality pathways were proposed for Beijing, focusing on its leading level in energy consumption side and advanced levels in energy supply and carbon sinks. A total of 165.6 Mt carbon emission would be mitigated, with 102.5 Mt reduced through renewable energy substitution, 56.1 Mt decreased from energy consumption side through multidimensional approaches in the industrial, construction, and transportation sectors, and 7.0 Mt carbon sinks. The results from this study provided a strategic layout, a practicable technique pathway to achieve carbon neutrality, and a precise and rapid carbon neutrality capacity assessment approach for megacities. © 2025
";"22106707 (ISSN)
";;;"Article
";"SINOPEC Research Institute of Petroleum Processing Co., Ltd, Beijing, 100083, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009487094&doi=10.1016%2Fj.scs.2025.106563&partnerID=40&md5=637b75622d5c2664ba940bc23b9de693
";;;;;10.1016/j.scs.2025.106563;;;;;;;;;;;;energy, other (ecological carbon sinks), industry;;;;;;;CROSS-SECTORAL;;;;;;;;;;;;;;;energy demand, technology-shares;;;;;;;EMISSIONS, CONSUMPTION;;;;
336;"Designing energy-positive neighborhoods: A modular framework for integrated planning and policy guidance
";Vermette, C.H.;;"Early-stage energy planning; Landscape-integrated photovoltaics; Microgrid coordination; Modular energy system design; Neighborhood aggregation; Net-zero energy neighborhoods; Renewable district heating; Urban energy modeling; Vehicle-to-grid integration; District heating; Energy efficiency; Energy policy; Integration; Land use; Microgrids; Photovoltaics; Vehicles; Zero-carbon; Zoning; Early-stage energy planning; Energy model; Energy planning; Energy system design; Grid integration; Landscape-integrated photovoltaic; Microgrid; Microgrid coordination; Modular energy system design; Modulars; Neighborhood aggregation; Neighbourhood; Net-zero energy neighborhood; Photovoltaics; Renewable district heating; Renewables; Urban energy; Urban energy modeling; Vehicle to grids; Vehicle-to-grid integration; Zero energies; Urban growth";;;2025;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: C.H. Vermette; Department of Building, Civil & Environmental Engineering, Concordia University, Canada; email: caroline.hachemvermette@concordia.ca
";;4492;4507;;;;;"Energy Rep.
";14;;"Energy Reports
";;"Elsevier Ltd
";;;;"This study proposes a modular and scalable framework for evaluating energy performance at the neighborhood scale, supporting the design of net-zero and energy-positive urban districts. Using archetype-based models of 11 representative Canadian neighborhood typologies, varying in density, land use, and form, the framework analyzes energy outcomes under multiple configurations, including microgrid coordination, renewable-powered district heating (geothermal and PV/T), landscape-integrated photovoltaics (LPV), and electric vehicle (EV) integration with vehicle-to-grid (V2G) functionality. Results show that integrating LPV over 20 % of public open space increases local generation reducing energy deficits by 20–30 % in high-density neighborhoods. Scenarios using PV/T based district heating (Scenario 4) achieved up to 90 % and 80 % reductions in net energy deficits in dense mixed-use neighborhoods (MU1 and MU2, respectively), compared to the baseline. V2G integration further reduced EV-related energy deficits by up to 25 % relative to uncontrolled charging scenarios. Additionally, strategic aggregation of complementary neighborhoods enabled the formation of energy-positive clusters, even when individual neighborhood units remained energy deficit. Although the analysis relies on simplified, correlation-based models and average annual inputs, the framework provides actionable insights during early planning phases, enabling rapid assessment of cross-sectoral design strategies for resilient, low-carbon urban development. © 2025 The Authors.
";"23524847 (ISSN)
";;;"Article
";"Department of Building, Civil & Environmental Engineering, Concordia University, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022815784&doi=10.1016%2Fj.egyr.2025.11.021&partnerID=40&md5=a74c0f306a803db15076aca5d3847937
";;;;;10.1016/j.egyr.2025.11.021;I am not sure, if the technology shares are made explicit in an appendix, but I can't find them in the paper.;;;;;;;;;;;energy;;;ENERGY;;;;;;;;;;;;;;;;;;;demand;;;DEMAND,TECHNOLOGY-SHARES (theoretically);;;;;;;;
339;"Analysing direct air capture for enabling negative emissions in Germany: an assessment of the resource requirements and costs of a potential rollout in 2045
";"Block, S.; Viebahn, P.; Jungbluth, C.";;"carbon dioxide removal; climate neutrality; DAC; direct air capture; economics; Germany; egative emissions; rollout";;;2024;"Export Date: 01 April 2026; Cited By: 1; Correspondence Address: S. Block; Research Division Future Energy and Industry Systems, Wuppertal Institute for Climate, Environment and Energy, Wuppertal, Germany; email: simon.block@wupperinst.org
";;;;;;;;"Front. Clim.
";6;;"Frontiers in Climate
";;"Frontiers Media SA
";;;;"Direct air capture (DAC) combined with subsequent storage (DACCS) is discussed as one promising carbon dioxide removal option. The aim of this paper is to analyse and comparatively classify the resource consumption (land use, renewable energy and water) and costs of possible DAC implementation pathways for Germany. The paths are based on a selected, existing climate neutrality scenario that requires the removal of 20 Mt of carbon dioxide (CO2) per year by DACCS from 2045. The analysis focuses on the so-called “low-temperature” DAC process, which might be more advantageous for Germany than the “high-temperature” one. In four case studies, we examine potential sites in northern, central and southern Germany, thereby using the most suitable renewable energies for electricity and heat generation. We show that the deployment of DAC results in large-scale land use and high energy needs. The land use in the range of 167–353 km2 results mainly from the area required for renewable energy generation. The total electrical energy demand of 14.4 TWh per year, of which 46% is needed to operate heat pumps to supply the heat demand of the DAC process, corresponds to around 1.4% of Germany's envisaged electricity demand in 2045. 20 Mt of water are provided yearly, corresponding to 40% of the city of Cologne‘s water demand (1.1 million inhabitants). The capture of CO2 (DAC) incurs levelised costs of 125–138 EUR per tonne of CO2, whereby the provision of the required energy via photovoltaics in southern Germany represents the lowest value of the four case studies. This does not include the costs associated with balancing its volatility. Taking into account transporting the CO2 via pipeline to the port of Wilhelmshaven, followed by transporting and sequestering the CO2 in geological storage sites in the Norwegian North Sea (DACCS), the levelised costs increase to 161–176 EUR/tCO2. Due to the longer transport distances from southern and central Germany, a northern German site using wind turbines would be the most favourable. Copyright © 2024 Block, Viebahn and Jungbluth.
";"26249553 (ISSN)
";;;"Article
";"Department of Energy Technology, NOWUM-Energy Institute, University of Applied Sciences Aachen, Jülich, Germany
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187142393&doi=10.3389%2Ffclim.2024.1353939&partnerID=40&md5=f20ce6b589f94d487f93c8a64a5c513e
";;;;;10.3389/fclim.2024.1353939;Paper only explores DAC and DACCS but not an entire decarbonisation of a sector;;;;;;;;;;;;"CROSS-SECTORAL

They study does not create the scenario by itself but uses an existing scenario and then analyzes the implications for DAC. I don't know if that counts?";;;;;;;;;;;;;;;;;;;;;;DEMAND, EMISSIONS, COSTS, LAND-USE REQUIREMENTS, OTHER: WATER USE;;;;;;;;;;
340;"Competing water uses between agriculture and energy: Quantifying future climate change impacts for the Portuguese power sector
";"Fortes, P.; Simoes, S.G.; Armada Brás, T.; Amorim, F.";;"Carbon-neutral power sector; Climate change impacts; Concurrent water uses; TIMES optimisation model; Water-energy nexus; Carbon; Climate change; Climate models; Electric energy storage; Electric power utilization; Linear programming; Water management; Water supply; Carbon neutrals; Carbon-neutral power sector; Climate change impact; Concurrent water use; Optimization models; Power sector; TIMES optimization model; Water energy; Water use; Water-energy nexus; Irrigation";;;2022;"Export Date: 01 April 2026; Cited By: 10; Correspondence Address: P. Fortes; CENSE – Centre for Environmental and Sustainability Research Energy and Climate & CHANGE - Global Change and Sustainability Institute, NOVA School of Science and Technology, NOVA University Lisbon, Campus de Caparica, 2829-516, Portugal; email: p.fs@fct.unl.pt; CODEN: JCROE
";;;;;;;;"J. Clean. Prod.
";371;;"Journal of Cleaner Production
";;"Elsevier Ltd
";;;;"Climate change may increase water needs for irrigation in southern Europe competing with other water uses, such as hydropower, which may likely be impacted by lower precipitation. Climate change will also potentially affect the variability and availability of other renewable energy resources (solar and wind) and electricity consumption patterns. This work quantifies the effect of competition for water use between irrigation and hydropower in the future 2050 Portuguese carbon-neutral power sector and under Representative Concentration Pathway 8.5 climate change projections. It uses the power system eTIMES_PT model to assess the combined effects of climate change on the cost-optimal configuration of the power sectorconsidering changes in irrigation, hydropower, wind and solar PV availability. eTIMES_PT is a linear optimisation model that satisfies electricity demand at minimal total power system cost. Results show that, by 2050, climate change can lead to an increase in annual irrigation water needs up to 12% in Tagus and 19% in Douro watersheds (from 2005 values), with substantially higher values for spring (up to 84%). Combining these increased water needs with the expected reduction in river runoff can lead to a decline in summer and spring hydropower capacity factors from half to three times below current values. By 2050, concurrent water uses under climate change can reduce hydropower generation by 26–56% less than historically observed, mainly in summer and spring. Higher solar PV, complemented with batteries’ electricity storage, can offset the lower hydropower availability, but this will lead to higher electricity prices. Adequate transboundary water management agreements and reducing water losses in irrigation systems will play a key role in mitigating climate impacts in both agriculture and power sector. © 2022
";"09596526 (ISSN)
";;;"Article
";"LNEG – National Laboratory for Energy and Geology, Estr. da Portela, 2720-999, Portugal
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136285175&doi=10.1016%2Fj.jclepro.2022.133629&partnerID=40&md5=7dd8529c2363e24793db172a65f90870
";;;;;10.1016/j.jclepro.2022.133629;;;;;;;;;;;;other (water);ENERGY;;;;;;;;;;;;;;;;;;;;;other (water use for irrigation and hydropower);TECHNOLOGY-SHARES, COSTS, OTHER: IRRIGATION DEMAND;;;;;;;;;;
342;"A carbon-neutral scenario simulation of an urban land–energy–water coupling system: A case study of Shenzhen, China
";"Lin, G.; Jiang, D.; Yin, Y.; Fu, J.";;"Land–energy–water integration; System dynamics; Urban carbon neutralization; Carbon dioxide; Ecology; Economics; Forestry; Global warming; Land use; Water resources; Water supply; Waterworks; A-carbon; Carbon neutralities; Carbon neutrals; Energy; Land–energy–water integration; Neutralisation; System Dynamics; Urban carbon neutralization; Water consumption; Water integration; Energy utilization";;;2023;"Export Date: 01 April 2026; Cited By: 39; Correspondence Address: Y. Yin; State Key Laboratory of Remote Sensing Science, College of Global Change and Earth System Science, Beijing Normal University, Beijing, No.19, Xinjiekou Wai Street, Haidian District, 100875, China; email: yyt0910@outlook.com; J. Fu; Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China; email: fujy@igsnrr.ac.cn; CODEN: JCROE
";;;;;;;;"J. Clean. Prod.
";383;;"Journal of Cleaner Production
";;"Elsevier Ltd
";;;;"As the core engine of the Guangdong–Hong Kong–Macao Greater Bay Area, Shenzhen plays a typical representative and leading role in the process of China's realization of the “double carbon” strategic goal, i.e., achieving peak carbon dioxide emissions by 2030 and carbon neutrality by 2060. Starting from an urban complex ecosystem, the aim of this study was to establish a system for an integrated urban land–energy–water system to achieve the “double carbon” objectives. Under a framework of urban land–energy–water integration, this study assessed the isomorphism of economy, population, water resources, energy, land use, and a carbon emission system and whether Shenzhen can achieve carbon neutralization in 2060 in a scenario of natural evolution. Then, it took carbon neutralization as the constraint, conducting backward reasoning to obtain values for the population, economic, technological development, water resources, energy consumption, and land carbon sequestration capacity of Shenzhen. Our study shows that the following: (1) Controlling water consumption synergistically reduces water-related energy consumption, while reducing energy consumption indirectly reduces water consumption by directly affecting energy-related water consumption, reflecting the transfer and feedback effect of the water–energy coupling relationship. (2) In the carbon neutral scenario, a rise in the forest cover increased 14,000 tons of carbon sinkage and resulted in the additional consumption of 262,700 cubic meters of ecological water. Therefore, the competition and coordination mechanism among the internal elements of the integrated urban land–energy–water system should be of high concern in the process of carbon neutralization. (3) In the future, carbon capture, utilization and storage technology and an increasing proportion of clean power will be the main ways to achieve carbon neutrality in Shenzhen. The purpose of this study was to clarify the current situation of carbon emissions and to put forward reference suggestions for the city to address a carbon neutralization strategy in the future. © 2022 Elsevier Ltd
";"09596526 (ISSN)
";;;"Article
";"College of Geoscience and Surveying Engineering, China University of Mining & Technology, Beijing, 100083, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143723626&doi=10.1016%2Fj.jclepro.2022.135534&partnerID=40&md5=2a3a730508728f3678079f9e8e8c9cd3
";;;;;10.1016/j.jclepro.2022.135534;;;;;;;;;;;;energy, land-use, agriculture, forestry, other (water);CROSS-SECTORAL;;;;;;;;;;;;;;;;;;;;;resource demand, emissions;EMISSIONS, DEMAND, LAND-USE REQUIREMENTS, OTHER-WATER CONSUMPTION;;;;;;;;;;
357;"Planning China's non-deterministic energy system (2021–2060) to achieve carbon neutrality
";"Ma, Y.; Li, Y.P.; Huang, G.H.";;"Carbon neutrality; CCUS; Decision making; Energy system; Multiple uncertainties; Optimization; China; Air quality; Carbon capture; Computer programming; Economic and social effects; Forestry; Probability distributions; Risk perception; Carbon neutralities; Carbon storage; Carbon utilization; Decisions makings; Deterministics; Energy systems; Multiple uncertainty; Optimisations; System planning; Uncertainty; alternative energy; carbon emission; decision making; electricity supply; energy planning; optimization; spatiotemporal analysis; uncertainty analysis; wind power; Wind power";;;2023;"Export Date: 01 April 2026; Cited By: 82; Correspondence Address: Y.P. Li; State Key Joint Laboratory of Environmental Simulation and Pollution Control, School of Environment, Beijing Normal University, Beijing, 100875, China; email: yongping.li@iseis.org; CODEN: APEND
";;;;;;;;"Appl. Energy
";334;;"Applied Energy
";;"Elsevier Ltd
";;;;"Long-term energy system planning at the national level is critical for achieving carbon neutrality. However, the multiple uncertainties inherent in energy system pose enormous challenges to the planning process. In this study, a flexible chance-constrained programming (FCP) method is developed to tackle uncertainties presented as random probability distribution and fuzzy information, which can also balance the trade-off between system objective and constraint-violation risk. Then, considering carbon capture, utilization and storage (CCUS) technology and forest carbon sinks, a China's non-deterministic energy planning model is formulated to achieve carbon neutrality under the minimization of system cost. Results under 72 scenarios associated with different CCUS installation rates and risk-response attitudes disclose that (i) in order to realize the national carbon neutrality goal, China should gradually reduce the use of coal and oil and increase the use of renewable energy (accounting for [75.3, 78.6]% by 2060); (ii) China should vigorously increase wind power and photovoltaic power, phase down coal-fired power installed capacity but retain 144.0 GW by 2060 to ensure stable electricity supply; (iii) China should reach peak CO2 emissions for its energy system by 2025 to gain time and release the urgency for carbon neutrality; (iv) the synergistic effect of carbon neutrality is also beneficial to the abatement of pollutants emissions and the improvement of air quality. The results can provide policy recommendations for the planning of China's carbon neutral energy system during 2021–2060. © 2023 Elsevier Ltd
";"03062619 (ISSN)
";;;"Article
";"Institute for Energy, Environment and Sustainable Communities, University of Regina, Regina, S4S 0A2, Sask, Canada
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146708630&doi=10.1016%2Fj.apenergy.2023.120673&partnerID=40&md5=aac806b0b1ecdac175ae5f25672098bf
";;;;;10.1016/j.apenergy.2023.120673;Fulltext not found ;;;;;Energy ;;;;;;;;;;;;;ENERGY;;;;;;;;;Emissions ;;;;;;;;;;;;;EMISSIONS;;;;
