#;Type;Reference;Primary title;Book title;Title unpublished reference;Notes;Keywords;Authors;Primary date;Publication year;Reprint status;Start page;End page;Periodical full name;Periodical standard abbreviation;Periodical in which article was published;Periodical name user abbreviation 1;Periodical name user abbreviation 2;Title secondary;Volume number;Issue number;City of publication;Publisher;User definable 1;User definable 5;Title series;abstract;ISSN/ISBN;Availability;Misc. 1;Misc. 2;Address;Web/URL;Link to PDF;Link to full-text;Related records;Images;doi
226;;;;"Scenario forecasting of carbon neutrality by combining the LEAP model and future land-use simulation: An empirical study of Shenzhen, China
";;"Export Date: 01 April 2026; Cited By: 18; Correspondence Address: J. Lin; School of Geography and Remote Sensing, Guangzhou University, Guangzhou, 510006, China; email: ljy2012@gzhu.edu.cn
";"Carbon budgeting; Carbon emission forecasting; Energy demand; Land use; Low-carbon city; Scenario analysis; China; Guangdong; Shenzhen; Carbon cycle; Carbon sequestration; Low emission; Zero-carbon; Carbon budgeting; Carbon carbons; Carbon emission forecasting; Carbon emissions; Carbon neutralities; Carbon stocks; Empirical studies; Energy demands; Low-carbon cities; Scenarios analysis; carbon budget; carbon emission; computer simulation; forecasting method; land use change; scenario analysis; Carbon capture and utilization";"Zhao, X.; Rao, Z.; Lin, J.; Zhang, X.";;2025;;;;;;;;"Sustainable Cities Soc.
";"Sustainable Cities and Society
";125;;;"Elsevier Ltd
";;;;"Forecasting future carbon emissions and carbon stocks under the influence of land-use changes will offer guidance for achieving urban carbon neutrality. However, a gap exists in the systematic combination of carbon emission forecasting and carbon stock forecasting to simulate the carbon neutrality path. Therefore, we introduced a novel method for scenario forecasting of carbon neutrality, which can integrate dynamic future land-use and NPP data to forecast carbon stocks. CCUS technology was also considered. Shenzhen, a Chinese city with high carbon emissions, was chosen as our case study area. First, the LEAP model was employed for forecasting future carbon emissions. Subsequently, the PLUS method was utilized for forecasting land-use evolution. Then, the carbon stocks were estimated on the basis of land-use forecasting and NPP. Finally, we explored the potential of CCUS for realizing carbon neutrality under integrated carbon emission and land-use scenarios. The results indicate that Shenzhen's future carbon emissions exhibit a tendency of an initial increase, followed by a decline. Due to the increase in ecological land, vegetation carbon stocks may increase slightly in farmland protection and ecological security scenarios. With the support of CCUS technology, the four scenarios are expected to achieve carbon neutrality before 2050. The scenarios presented in this study align more closely with future development trajectories and actual conditions, making them more informative for policy-making. In summary, the proposed framework would facilitate a comprehensive understanding of the pathways to achieving carbon neutrality goals. © 2025 Elsevier Ltd
";"22106707 (ISSN)
";;;"Article
";"College of Geography and Remote Sensing Sciences, Xinjiang University, Urumqi, 830046, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002327415&doi=10.1016%2Fj.scs.2025.106367&partnerID=40&md5=df89a62f905b8545c5be3dcc47bed717
";;;;;"10.1016/j.scs.2025.106367
"
227;;;;"Modelling the economic and environmental impacts of water resources in the context of climate neutrality in the EUSDR member states
";;"Export Date: 01 April 2026; Cited By: 4; Correspondence Address: V.M. Antohi; Department of Business Administration, Faculty of Economics and Business Administration, Dunarea de Jos University, Galati, Romania; email: valentin_antohi@yahoo.com
";"blue economy; circular economy; energy crisis; EUSDR; green deal; water productivity; water supply";"Ionescu, R.V.; Zlati, M.L.; Antohi, V.M.; Cristea, D.S.; Petrea, _.M.; For_ea, C.";;2024;;;;;;;;"Front. Environ. Sci.
";"Frontiers in Environmental Science
";12;;;"Frontiers Media SA
";;;;"Introduction: This study explores the economic and environmental impacts of water resources in the context of achieving climate neutrality in the EU Strategy for the Danube Region (EUSDR). The research is focused on eight EUSDR member states: Bulgaria, Czechia, Germany, Croatia, Hungary, Austria, Romania, and Slovakia, with the aim of analyzing the dynamic relationship between water resources, economic growth, and environmental sustainability. Given the ambitious goals of the European Green Deal, this study examines how water management can support the transition towards climate neutrality. Methods: A dynamic econometric model was developed using a consolidated database of relevant climate neutrality indicators from 2010 to 2021. The selected indicators included GDP per capita, water use in agriculture, gross water abstraction, sewage sludge production, and water productivity. The econometric model was validated using statistical tools such as the One-Sample Kolmogorov-Smirnov Test, and analysis was conducted using Gretl and IBM-SPSS 25 software. Results: The findings reveal that water resources management significantly contributes to the achievement of climate neutrality targets. The model achieved over 86% significance in explaining the financial efforts needed to achieve the Green Deal’s 2030 and 2050 goals. Moreover, water productivity and investments in water-related infrastructure were found to play critical roles in ensuring the success of these climate policies. Discussion: The results highlight the importance of policy coordination across the EUSDR member states and the need for increased investment in sustainable water resource management. Achieving climate neutrality requires addressing economic disparities between states and enhancing regional cooperation. Conclusion: The proposed dynamic model offers a valuable tool for monitoring progress towards climate neutrality, particularly in relation to water resource management. This research underlines the need for targeted policy interventions and investments to meet the Green Deal’s goals while safeguarding the region's water resources. Copyright © 2024 Ionescu, Zlati, Antohi, Cristea, Petrea and For_ea.
";"2296665X (ISSN)
";;;"Article
";"Department of Food Science, Food Engineering, Biotechnology and Aquaculture, Faculty of Food Science and Engineering, Dunarea de Jos University, Galati, Romania
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214099002&doi=10.3389%2Ffenvs.2024.1353107&partnerID=40&md5=07ff275eb64cf9af314d83f13efeda62
";;;;;"10.3389/fenvs.2024.1353107
"
228;;;;"Data-Driven Internal Carbon Pricing Mechanism for Improving Wood Procurement in Integrated Energy and Material Production
";;"Export Date: 01 April 2026; Cited By: 4; Correspondence Address: T. Palander; Faculty of Science, Forestry and Technology, University of Eastern Finland, Joensuu, P.O. Box 111, FI-80101, Finland; email: teijo.s.palander@uef.fi
";"carbon neutrality; carbon sink; CO<sub>2</sub> emission allowance price; energy production; growth-based carbon sink; renewable wood; Carbon; Carbon dioxide; Costs; Energy utilization; Forestry; Wood; Carbon neutralities; Carbon pricing; Carbon sink; CO 2 emission; CO2 emission allowance price; Emission allowances; Energy productions; Growth-based carbon sink; Renewable wood; Profitability";Palander, T.;;2023;;;;;;;;"Energies
";"Energies
";16;8;;"MDPI
";;;;"More than 25% of the total energy consumption in Finland has been produced with wood fuels. Since 2012, the share has been greater than that of oil, coal, or natural gas. Internal carbon pricing is used to manage the risks in wood procurement after wood import from Russia ended. Further, the EU announced plans to sell more carbon emission permits to fund the EU’s exit from Russian energy. To manage these challenges, a data-driven internal carbon pricing mechanism (DDICPM) has been developed for wood procurement optimization. Particularly, local changes are considered via available information about growth-based carbon sinks (GBCS). The results of the new scenario were compared to the basic national scenario that ensures carbon neutrality in forestry. The DDICPM may provide the optimum wood-procurement operations maintaining carbon neutrality in the integrated energy and material industry (IEMI). In this study, the use of DDICPM increased profitability b 16.2, 16.1, and 16.0% between adapted wood procurement areas at the EU’s emission allowance prices of 30, 65, and 98 € t_1 CO2. The experiments’ results also revealed that the DDICPM could consistently and significantly outperform the conventional solution adopted by the company in terms of economic costs. A significant conclusion is that an increase in profitability is possible if the size of wood procurement areas is allowed to vary optimally with respect to transport distance to take advantage of the GBCS as a new application of the renewable carbon sink. © 2023 by the author.
";"19961073 (ISSN)
";;;"Article
";"Faculty of Science, Forestry and Technology, University of Eastern Finland, P.O. Box 111, Joensuu, FI-80101, Finland
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156106627&doi=10.3390%2Fen16083473&partnerID=40&md5=1f29464870cb18f688606e98a082e481
";;;;;"10.3390/en16083473
"
229;;;;"Biomass gasification as a cornerstone of the circular bioeconomy: a review of technology, barriers, and deployment strategies
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: A.R. Saleh; Department of Mechanical Engineering and Industrial, Faculty of Engineering, Universitas Tidar, Magelang, Indonesia; email: arifrahmansaleh@untidar.ac.id
";"bioeconomy; biomass; deployment strategy; gasification; life cycle assessment; Artificial life; Bioeconomy; Carbonization; Digital twin; Economic and social effects; Economics; Feedstocks; Industrial plants; Life cycle; Life cycle assessment; Waste management; Biomass Gasification; Deployment strategy; Global shift; Review of technologies; Sustainable energy management; Sustainable waste management; Technology barriers; Technology deployment; Technology strategies; Zero emission; Biomass; Gasification";"Saleh, A.R.; Mujiarto, S.; Setiyawati, T.R.; Sudarmanta, B.";;2026;;1061;1094;;;;;"Biofuel Bioprod. Biorefining
";"Biofuels, Bioproducts and Biorefining
";20;2;;"John Wiley and Sons Ltd
";;;;"The global shift toward a circular bioeconomy and net-zero emissions has positioned biomass gasification as a pivotal technology for sustainable energy and waste management. This review comprehensively synthesizes recent advancements, critical barriers, and strategic pathways for large-scale deployment. The fundamental process and feedstock systems are first examined, including key innovations in pre-treatment (e.g. torrefaction, hydrothermal carbonization) and syngas conditioning (e.g. plasma-cracking, biochar catalysts). The analysis then delves into persistent operational challenges, such as tar-induced equipment fouling and ash-related issues (slagging, agglomeration), highlighting the trade-offs between mitigation strategies and byproduct valorization. The techno-economic assessment, based on a critical review of data from the existing literature, reveals that while centralized models benefit from economies of scale, the financial viability of all scales is highly sensitive to feedstock costs and supportive policies like carbon pricing. Crucially, the review identifies three critical research gaps: the scarcity of long-term operational data, the need for dynamic techno-economic and life cycle assessments, and the development of feedstock-adaptive designs. We propose strategic recommendations centered on digitalization through artificial intelligence-driven control and digital twins, differentiated policy levers to support projects ranging from small-scale (<1 MWe) to large-scale (>10 MWe) applications, and the integration of gasification into circular systems, such as integrated waste-to-energy facilities in urban areas or the co-location of gasification plants with agricultural processing industries to create industrial symbiosis to maximize resource efficiency. This work provides an integrated framework for stakeholders, guiding future research and policy to accelerate the transition of biomass gasification into a reliable, flexible, and sustainable energy solution. © 2025 Society of Industrial Chemistry and John Wiley & Sons Ltd.
";"1932104X (ISSN)
";;;"Review
";"Combustion and Energy System Laboratory, Department of Mechanical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026055926&doi=10.1002%2Fbbb.70106&partnerID=40&md5=90dd8fb5ae4e5fc568b00bfcee130563
";;;;;"10.1002/bbb.70106
"
230;;;;"Agent-Based Energy Market Modeling with Machine Learning and Econometric Forecasting for the Net-Zero Emissions Transition
";;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: B. Gokce; Energy Science and Technology, Energy Institute, Istanbul Technical University, Istanbul, 34469, Turkey; email: bkgokce@gmail.com
";"agent-based modeling; carbon emissions trading; econometric forecasting; electricity markets; energy markets; machine learning; Autonomous agents; Autoregressive moving average model; Carbon; Computational methods; Costs; Decision support systems; Electric industry; Emission control; Forecasting; Investments; Machine learning; Nuclear energy; Nuclear fuels; Nuclear power plants; Plant expansion; Statistical methods; Zero-carbon; Agent based; Agent-based model; Carbon emission trading; Econometric forecasting; Emissions Trading Scheme; Energy market modeling; Energy markets; Machine-learning; Market price; Zero emission; Learning systems; Power markets";"Gokce, B.; Kayakutlu, G.";;2025;;;;;;;;"Energies
";"Energies
";18;21;;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"The transition of Türkiye’s energy market toward net-zero emissions by 2053 requires modeling approaches capable of capturing complex interactions and long-term uncertainties. In this study, a long-term agent-based modeling (ABM) framework was developed, integrating econometric demand forecasting with a seasonal autoregressive integrated moving average (SARIMA) model and machine learning (ML)-based day-ahead market (DAM) price prediction. Of the ML models tested, CatBoost achieved the highest accuracy, outperforming XGBoost and Random Forest, and supported investment analysis through net present value (NPV) calculations. The framework represents major market actors—including generation units, investors, and the market operator—while also incorporating the impact of Türkiye’s first nuclear power plant (NPP) under construction and the potential introduction of a carbon emissions trading scheme (ETS). All model components were validated against historical data, confirming robust forecasting and market replication performance. Hourly simulations were conducted until 2053 under alternative policy and demand scenarios. The results show that renewable generation expands steadily, led by onshore wind and solar photovoltaic (PV), while nuclear capacity, ETS implementation, and demand assumptions significantly reshape prices, generation mix, and carbon emissions. The nuclear plant lowers market prices, whereas an ETS substantially raises them, with both policies contributing to emission reductions. These scenario results were connected to actionable policy recommendations, outlining how renewable expansion, ETS design, nuclear development, and energy efficiency measures can jointly support Türkiye’s 2053 net-zero target. The proposed framework provides an ex-ante decision-support framework for policymakers, investors, and market participants, with future extensions that can include other energy markets, storage integration, and enriched scenario design. © 2025 by the authors.
";"19961073 (ISSN)
";;;"Article
";"Energy Science and Technology, Energy Institute, Istanbul Technical University, Istanbul, 34469, Turkey
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021457069&doi=10.3390%2Fen18215655&partnerID=40&md5=58babc090a2338ee9be06566ca531d67
";;;;;"10.3390/en18215655
"
231;;;;"Kenya’s Low Carbon Futures: An Assessment Using the KCERT Model
";;"Export Date: 01 April 2026; Cited By: 2; Correspondence Address: O. Mwabonje; Centre for Environmental Policy (CEP), Imperial College London, London, SW7 1NA, United Kingdom; email: o.mwabonje@imperial.ac.uk
";"2050 calculator; decarbonization; GHG emissions; KCERT; et-zero emissions; system dynamics; Carbon; Decarbonization; Decision making; Economic and social effects; Gas emissions; Greenhouse gases; Land use; Reforestation; Waste management; 2050 calculator; Decarbonisation; GHG emission; GHGs emissions; KCERT; Low-carbon futures; Modelling tools; Net-zero emission; System Dynamics; Zero emission; Sensitivity analysis";"Gachanja, J.; Muriithi, B.; Mwabonje, O.; Mugwe, A.; Olukuru, J.; Da Silva, I.P.; Mwangi, F.; Strapasson, A.; Sukpanit, P.";;2023;;;;;;;;"Energies
";"Energies
";16;21;;"Multidisciplinary Digital Publishing Institute (MDPI)
";;;;"KCERT 2050 is a modelling tool designed to assist in the identification and evaluation of synergies and trade-offs within sectoral decarbonization pathways for Kenya. KCERT 2050 is positioned as a user-friendly and dynamic tool that bridges complex energy systems and emissions models with integrated impact assessment tools, aimed at aiding decision making towards carbon neutrality in both public and private sectors. The tool considers greenhouse gas emissions from various economic sectors and is validated through a collaborative process involving experts from diverse backgrounds. This study uses KCERT 2050 to examine the prospects of achieving a net_zero emissions pathway by 2050. In the baseline scenario, a significant emission trajectory is observed, with the transport sector emerging as the largest contributor. Transitioning to the net_zero pathway reveals substantial reductions across key sectors, such as transport, industry, and land use, driven by strategies including electrification, waste reduction, and afforestation. The sensitivity analysis underscores the potential for emission mitigation through various levers, including land use optimization and the adoption of cleaner transportation modes. In conclusion, our findings emphasize the potential and feasibility of Kenya’s ambitious net_zero emissions target. To attain this goal, it is imperative to prioritize sustainable land use and innovative waste management strategies. © 2023 by the authors.
";"19961073 (ISSN)
";;;"Article
";"Centre for Sustainable Development, University of Brasilia, Asa Norte, DF, Brasilia, 70910-900, Brazil
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176364243&doi=10.3390%2Fen16217459&partnerID=40&md5=f07e0485e901d4bd45c83c5bdf0d4367
";;;;;"10.3390/en16217459
"
232;;;;"Research on the Testing Model for the Environmental Carrying Capacity of Urban Landscapes
";;"Export Date: 01 April 2026; Cited By: 0; Correspondence Address: Y. Wang; Wuhan Technology and Business University, Wuhan, 430065, China; email: 807012401@qq.com
";"Ecological Footprint Analysis; Environmental Carrying Capacity; GIS Analysis; Urban Landscapes; Abiotic; Carbon capture and utilization; Carbon sequestration; Green development; Green economy; Case-studies; Ecological Footprint Analysis; Environmental carrying capacities; Geographic information; Geographic information system analyze; Green spaces; Information system analysis; Per capita; Testing models; Urban landscape; Zero-carbon";Wang, Y.;;2024;;38;48;;;;;"Learn. Anal. Intell.  Syst.
";"Learning and Analytics in Intelligent Systems
";41;;;"Springer Nature
";;;;"This research meticulously explores the environmental carrying capacity of urban landscapes, with a detailed case study of Beijing. Utilizing Geographic Information Systems (GIS) analysis and Ecological Footprint Analysis, the study assesses various dimensions of Beijing’s urban environment, including land use, carbon emissions, green spaces, and resource consumption. Key findings indicate that Beijing has managed to maintain a relatively low building coverage rate at 21%, indicating efficient land use and preservation of green spaces amidst urban expansion. Despite this, the city faces significant challenges with high CO2 emissions, at 115,000 tons, signaling the need for enhanced efforts in reducing reliance on fossil fuels and increasing green energy usage. The research also highlights Beijing’s commendable green space management, with per capita green area at 14 sq. m, and robust public transit coverage at 81%, exemplifying effective urban planning and sustainability practices. However, per capita waste generation and water consumption rates suggest areas requiring focused improvement efforts towards sustainability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.
";"26623447 (ISSN)
";;;"Conference paper
";"Wuhan Technology and Business University, Wuhan, 430065, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213391248&doi=10.1007%2F978-3-031-69457-8_4&partnerID=40&md5=411c650e0ed8dfa56ce8d9baef9ffaeb
";;;;;"10.1007/978-3-031-69457-8_4
"
233;;;;"Study of spatialtemporal changes in Chinese forest eco-space and optimization strategies for enhancing carbon sequestration capacity through ecological spatial network theory
";;"Export Date: 01 April 2026; Cited By: 76; Correspondence Address: Q. Yu; College of Forestry, Beijing Forestry University, Beijing, 35 Qinghua East Road, Haidian District, 100083, China; email: yuqiang@bjfu.edu.cn; CODEN: STEVA
";"Complex networks; Ecological restoration; Forest carbon sequestration capacity; Forest ecosystems; Temporal eco-spatial networks; Carbon; Carbon Sequestration; China; Conservation of Natural Resources; East Asian People; Ecosystem; Forests; Humans; China; Carbon; Circuit theory; Conservation; Deforestation; Ecosystems; Graph theory; Principal component analysis; Restoration; carbon; Carbon sequestration; Chinese forests; Closeness centralities; Ecological restoration; Forest carbon sequestration; Forest carbon sequestration capacity; Forest ecosystem; Spatial network; Temporal eco-spatial network; Western China; carbon sequestration; etwork analysis; optimization; spatial analysis; spatiotemporal analysis; strategic approach; temporal analysis; analytic method; Article; carbon neutrality; carbon peaking; carbon sequestration; China; closeness centrality; clustering algorithm; demography; ecosystem restoration; eigen centrality; environmental parameters; forest structure; harmonic closeness centrality; human; mathematical model; onhuman; process optimization; theoretical model; ecosystem; environmental protection; forest; Complex networks";"Qiu, S.; Fang, M.; Yu, Q.; Niu, T.; Liu, H.; Wang, F.; Xu, C.; Ai, M.; Zhang, J.";;2023;;;;;;;;"Sci. Total Environ.
";"Science of the Total Environment
";859;;;"Elsevier B.V.
";;;;"The conservation of forest ecosystems and the enhancement of carbon sequestration capacity play a crucial role in maintaining ecological balance and human development. However, with excessive deforestation, the flow of energy and information within the ecosystem has changed, which in turn has led to changes in the topological properties and carbon sequestration capacity of forest ecosystems. In order to better investigate the nature and carbon sequestration capacity of forest ecological space in mainland China during 2000–2018, we constructed a time-series Chinese forest ecological spatial network based on complex network theory and graph theory, combined with the modified minimal cumulative resistance model (MCR). By combining the net primary productivity (NPP) values obtained from the Boreal Ecosystem Productivity Simulator (BEPS) model of existing scholars, we further explored the relationship between topology and carbon sequestration capacity within forest ecosystems, and proposed strategies and suggestions for optimization. The results show that forest ecological sources and ecological corridors showed an increasing trend and resistance values decreased year by year during 2000–2018, especially in the western region, indicating that ecological restoration projects in western China have achieved certain effects. However, the stability of forest ecosystems has been decreasing year by year, and the forest carbon sequestration capacity in western China is also decreasing. Through correlation analysis, we found that carbon sequestration capacity showed highly significant positive correlation with closeness centrality, harmonic closeness centrality, clustering, and eigen centrality, and carbon sequestration capacity showed highly significant negative correlation with betweeness centrality. Through Principal Components Analysis (PCA), we suggest that consolidating small patches in the northeast, reducing the number of redundant ecological corridors, adding stepping stone patches to shorten the length of ecological corridors, and increasing ecological corridors in non-northeast areas are conducive to enhancing plant carbon sequestration capacity. This study provides theoretical support and ecological engineering recommendations for China to achieve its strategic goals of carbon neutrality and carbon peaking. © 2022
";"00489697 (ISSN)
";;;"Article
";"Energy Saving & Environmental Protection & Occupational Safety and Health Research Institute, China Academy of Railway Sciences Corporation Limited, Beijing, 100081, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141912687&doi=10.1016%2Fj.scitotenv.2022.160035&partnerID=40&md5=7557f89062451e29e38dd1a92a1dee1e
";;;;;"10.1016/j.scitotenv.2022.160035
"
234;;;;"Arctic amplification-induced decline in West and South Asia dust warrants stronger antidesertification toward carbon neutrality
";;"Export Date: 01 April 2026; Cited By: 14; Correspondence Address: M. Gao; Department of Geography, Hong Kong Baptist University, 999077, Hong Kong; email: mmgao2@hkbu.edu.hk; C. Liu; Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, 230026, China; email: chliu81@ustc.edu.cn; CODEN: PNASA
";"aerosols; atmospheric circulation; climate change; decarbonization; aerosol; aerosol  optical  depth; antidesertification; Arctic; arctic  amplification  intensity; arctic amplification; Article; carbon neutrality; climate  model simulation; climate change mitigation; dust; dust  emission  index; dust horizontal transport flux; dust loading; dust occurrence frequency; environment; environmental parameters; greenhouse effect; greenhouse gas; human; ormalized difference vegetation index; remote sensing; sea surface temperature; simulation; South Asia; time series analysis; West Asia; wind speed; aerosol; air quality; Arctic; article; climate change; climate model; controlled study; dust; energy resource; food security; land use; latitude; onhuman; reforestation; Russian Federation; weather";"Wang, F.; Xu, Y.; Patel, P.N.; Gautam, R.; Gao, M.; Liu, C.; Ding, Y.; Chen, H.; Yang, Y.; Zhou, Y.; Carmichael, G.R.; McElroy, M.B.";;2024;;;;;;;;"Proc. Natl. Acad. Sci. U. S. A.
";"Proceedings of the National Academy of Sciences of the United States of America
";121;14;;"National Academy of Sciences
";;;;"Dust loading in West and South Asia has been a major environmental issue due to its negative effects on air quality, food security, energy supply and public health, as well as on regional and global weather and climate. Yet a robust understanding of its recent changes and future projection remains unclear. On the basis of several high-quality remote sensing products, we detect a consistently decreasing trend of dust loading in West and South Asia over the last two decades. In contrast to previous studies emphasizing the role of local land use changes, here, we attribute the regional dust decline to the continuous intensification of Arctic amplification driven by anthropogenic global warming. Arctic amplification results in anomalous mid-latitude atmospheric circulation, particularly a deepened trough stretching from West Siberia to Northeast India, which inhibits both dust emissions and their downstream transports. Large ensemble climate model simulations further support the dominant role of greenhouse gases induced Arctic amplification in modulating dust loading over West and South Asia. Future projections under different emission scenarios imply potential adverse effects of carbon neutrality in leading to higher regional dust loading and thus highlight the importance of stronger anti-desertification counter-actions such as reforestation and irrigation management. Copyright © 2024 the Author(s). Published by PNAS. This open access article is distributed under Creative Commons Attribution-NonCommercial-NoDerivatives License 4.0 (CC BY-NC-ND).
";"00278424 (ISSN)
";;;"Article
";"Department of Chemical and Biochemical Engineering, The University of Iowa, Iowa City, 52242, IA, United States
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189059786&doi=10.1073%2Fpnas.2317444121&partnerID=40&md5=c503e8f917a14285221b1987fa875053
";;;;;"10.1073/pnas.2317444121
"
235;;;;"Exploring Potential Ways to Reduce the Carbon Emission Gap in an Urban Metabolic System: A Network Perspective
";;"Export Date: 01 April 2026; Cited By: 10; Correspondence Address: R. Wang; Guangdong Key Laboratory of Environmental Pollution and Health, School of Environment, Jinan University, Guangzhou, 511443, China; email: wangruwei@jnu.edu.cn
";"carbon neutral paths; center of gravity; etwork insight; urban carbon metabolism; Carbon; Carbon Sequestration; Industry; Physical Phenomena; Transportation; Beijing [Beijing (ADS)]; Beijing [China]; China; carbon; carbon; carbon emission; carbon sequestration; energy use; GIS; land use change; metabolism; etwork analysis; spatial variation; temporal variation; Article; carbon emission; carbon metabolism; carbon sequestration; carbon sink; China; cultivated land; energy consumption; gravity; industrial area; land use; etwork analysis; socioeconomics; spatial analysis; traffic and transport; urban area; carbon sequestration; industry; physical phenomena";"Xia, L.; Wei, J.; Wang, R.; Chen, L.; Zhang, Y.; Yang, Z.";;2022;;;;;;;;"Int. J. Environ. Res. Public Health
";"International Journal of Environmental Research and Public Health
";19;10;;"MDPI
";;;;"To meet the global need for carbon neutrality, we must first understand the role of urban carbon metabolism. In this study, we developed a land–energy–carbon framework to model the spatial and temporal variation of carbon flows in Beijing from 1990 to 2018. Based on the changes in carbon sequestration and energy consumption, we used ecological network analysis to identify the critical paths for achieving carbon neutrality during land-use changes, thereby revealing possible decarbonization pathways to achieve carbon neutrality. By using GIS software, changes in the center of gravity for carbon flows were visualized in each period, and future urban construction scenarios were explored based on land-use policy. We found that the direct carbon emission peaked in 2010, mostly due to a growing area of transportation and industrial land. Total integrated flows through the network decreased at an average annual rate of 3.8%, and the change from cultivated land to the socioeconomic sectors and the paths between each socioeconomic component accounted for 29.5 and 31.7% of the integrated flows during the study period. The socioeconomic sectors as key nodes in the network should focus both on their scale expansion and on using cleaner energy to reduce carbon emissions. The center of gravity gradually moved southward, indicating that the new emission centers should seek a greener mixture of land use. Reducing carbon emission will strongly relied on transforming Beijing’s energy consumption structure and increasing green areas to improve carbon sinks. Our results provide insights into carbon flow paths that must be modified by implementing land-use policies to reduce carbon emission and produce a more sustainable urban metabolism. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.
";"16617827 (ISSN)
";;;"Article
";"State Key Joint Laboratory of Environmental Simulation and Pollution Control, School of Environment, Beijing Normal University, Xinjiekouwai Street No. 19, Beijing, 100875, China
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129703691&doi=10.3390%2Fijerph19105793&partnerID=40&md5=c407d142f6fb8819d4871248446beb90
";;;;;"10.3390/ijerph19105793
"
236;;;;"Bangladesh's pathways to net-zero transition: Reassessing country's solar PV potential with high-resolution GIS data
";;"Export Date: 01 April 2026; Cited By: 14; Correspondence Address: A.S.M.M. Hasan; Department of Energy and Development, Europa-Universitaet Flensburg, Flensburg, Munketoft 3b, 24937, Germany; email: mominul.hasan@uni-flensburg.de
";"Agrivoltaics; Floating PV; Geospatial modelling; Net-zero transition; Rooftop PV; Solar energy; Bangladesh; Geographic information systems; Land use; Solar power generation; Agrivoltaics; Bangladesh; Floating photovoltaic; Geospatial model; Net-zero transition; Photovoltaic potentials; Photovoltaics; Rooftop photovoltaic; Solar photovoltaics; alternative energy; data; GIS; land use; modeling; photovoltaic system; solar power; Solar energy";"Hasan, A.S.M.M.; Kesapabutr, P.; Möller, B.";;2024;;;;;;;;"Energy Sustainable Dev.
";"Energy for Sustainable Development
";81;;;"Elsevier B.V.
";;;;"Solar photovoltaic (PV) technology stands out as a cornerstone in Bangladesh's journey towards achieving net-zero emissions, representing a crucial building block in the country's sustainable energy transition plan. However, rapid land use change and the lack of suitable land for developing PV pose significant barriers to achieving Bangladesh's renewable energy targets and decarbonisation goals towards a net-zero transition. Our analysis of the predevelopment land use state of ten existing solar PV plants in Bangladesh reveals a substantial use of scarce agricultural land for their establishment. Therefore, to identify pathways for overcoming the challenges, this study reassesses Bangladesh's geographic and technical potential for solar PV using geospatial modelling by considering local contexts. Our investigation encompasses Rooftop PV (RPV), Ground-mounted PV (GPV), Floating PV (FPV), and Agrivoltaic (APV) systems. To identify suitable areas and quantify potential, we employ a comprehensive exclusion model and system-specific suitability models using the QGIS platform. Utilising the latest spatial datasets, including footprint data comprising approximately 20 million buildings, a 10 metre (m) resolution land cover map, and bathymetry data, our study provides a robust analysis. The results of our models present a holistic view of Bangladesh's solar PV potential, estimating about 30 GWp for RPV, 9 GWp for GPV, 5 GWp for FPV, and 81 GWp for APV applications. Given the escalating urbanisation in Bangladesh, our findings recommend diversifying solar PV deployment with a focus on RPV and other PV systems that offer dual use of land to facilitate a smoother energy transition towards sustainable development. © 2024 The Author(s)
";"09730826 (ISSN)
";;;"Article
";"Department of Energy and Development, Europa-Universitaet Flensburg, Munketoft 3b, Flensburg, 24937, Germany
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199025622&doi=10.1016%2Fj.esd.2024.101511&partnerID=40&md5=877607327e8f0e14cb5272b4d69bb4d0
";;;;;"10.1016/j.esd.2024.101511
"
